dates Ta Te Co pH Ox Tr Dt Dc Mg Su NO Tac Ms Mo Ch
02/02/83 2 5.9 359 8.2 93 67 186 62.9 7.1 35 0.55 176.9 17.3 2.6 1.4
22/02/83 2 3.4 348 7.9 92 203 176 57.7 7.8 42.1 0.78 158.6 3.7 0.9 1.6
14/03/83 10 7.5 260 8 94 176 176 60.1 6.3 32.9 0.54 169.6 4.4 1.2 5.7
19/04/83 16 9.1 298 7.9 101 85 165 57.7 5.1 32.8 0.63 161 22 3.7 6.2
03/05/83 15 9.6 287 8.2 96 40 167 58.9 4.9 24.4 0.48 176.9 44.9 5.6 2.9
09/05/83 10 10.1 277 8.2 98 28 165 57.3 5.3 28.6 0.48 170.8 92.4 8.8 9.2
10/05/83 15 11.4 293 8.2 98 22 176 62.1 5.1 22.5 0.55 191.5 98 9.8 4.4
24/05/83 12 9.5 295 8.1 98 55 170 58.9 5.6 29.8 0.5 168.4 40 4.4 10.6
31/05/83 16 11 299 8.3 95 22 170 60.1 4.9 30.7 0.65 170.8 29.3 4.4 1.5
07/06/83 23 16.3 243 8.1 93 73 135 45.3 5.3 33.5 0.54 126.9 26.6 5.4 6.4
16/06/83 18 16.6 256 7.6 91 65 139 46.9 5.3 38.3 0.42 124.5 24.4 3.4 2.8
22/06/83 18 16.5 276 76 88 120 152 51.3 5.8 39.5 36 134.2 11.8 2.2 2.5
28/06/83 19 16.2 263 8.1 85 58 144 49.7 4.9 35.4 0.3 130.5 25.2 3.6 5.3
05/07/83 23 17.2 266 8.1 94 104 142 46.9 6.1 39.9 0.33 128.1 16 2.7 2.7
11/07/83 24 19.5 258 8.3 103 71 141 46.9 5.8 38.5 0.36 126.9 20.2 2.2 3.9
19/07/83 23 22 248 8.1 102 100 122 44.1 2.9 45.6 0.35 112.2 13.8 2.2 1.9
26/07/83 24 22.2 234 8 100 80 121 40.1 5.1 42.5 0.33 102.5 20 2.1 1.7
01/08/83 24 24 225 8.1 94 81 116 37.3 5.6 40.9 0.41 95.2 15.9 1.8 3.1
09/08/83 23 19.6 247 8.2 87 185 130 40.5 7 43.1 0.48 104.9 7.8 1.4 1.4
16/08/83 19 20.2 233 8.1 86 150 120 37.3 6.6 39 0.42 95.2 11.5 1.5 3.6
23/08/83 19 20.4 234 8.1 85 100 122 38.5 6.3 39.4 0.36 98.8 14.1 2.7 4.7
30/08/83 22 20.6 249 8.1 84 98 130 42.9 5.6 37.7 0.42 109.8 14.2 3 1.8
06/09/83 20 14.2 258 8 98 90 139 46.9 5.4 40.2 0.96 119.6 12.7 1.7 1.3
12/09/83 12 16.5 253 8.1 97 90 134 44.5 5.6 37.9 0.54 111 18.4 2 1.7
19/09/83 14 11.4 261 8.1 96 21 151 52.5 4.9 21.3 0.12 155 89.4 11.9 1.2
26/09/83 14 16.6 266 8.1 95 167 145 48.1 6.1 40.3 0.3 125.7 10.2 1.5 5.2
02/10/83 16 16.7 268 8 95 160 144 48.1 5.8 40.3 0.42 125.7 6.8 1.6 5.3
10/10/83 14 15.4 245 8.1 91 176 144 47.3 6.3 44.7 0.51 117.1 8.6 1.3 2.8
18/10/83 14 11.5 289 8.2 87 25 162 56.1 5.3 31.4 0.66 158.6 93.6 17.4 2.3
24/10/83 6 10.6 294 8.1 86 170 158 53.3 6.1 37.8 0.66 146.4 7 0.9 0.8
31/10/83 8 10.4 293 7.6 86 170 156 51.7 6.6 40.3 0.48 136.6 5.9 1 1.4
07/11/83 10 10.3 306 8.1 85 180 164 52.5 8 39.5 0.66 141.5 6.3 1.1 1.1
14/11/83 8 9.5 316 8 85 250 166 53.7 7.8 50.1 0.66 144 3.1 0.7 1.9
21/11/83 3 7.4 320 8.1 85 220 202 66.5 8.8 40.4 0.66 141.5 4.1 0.9 2
28/11/83 11 9.1 292 7.9 109 19 191 66.1 6.3 26.6 0.54 151.3 258.3 16.5 5.6
05/12/83 -5 4.2 342 81 89 115 227 75.8 9.2 30 66 174.5 10.3 1.7 0.7
19/12/83 6 5.9 343 7.9 78 150 209 70.1 8.3 34.5 0.84 152.5 9 1.1 0.3
26/12/83 7 6.7 330 7.7 86 43 211 73.4 6.8 25.3 0.6 173.2 29.5 2.2 0.8
02/01/84 2 5.8 349 7.8 77 165 176 59.7 6.6 34.5 0.45 170.8 5.9 0.6 0.7
