ecotype;plt;pi;etat;longitude;latitude;semflo;haut;laxl;rambas;rammed;ramapic;longfeu;longpet;dcp;grlon;grlar;huile
209;1;PI435415;TEX;-94,833;30,911;50;190;120;2;2;2;44;25;34,16;4,659;2,525;28,97
209;2;PI435415;TEX;-94,833;30,911;51;180;60;0;1;1;44;21;28,66;4,724;2,245;28,74
209;3;PI435415;TEX;-94,833;30,911;44;180;90;2;2;2;47;22;28,46;4,147;2,517;24,97
209;4;PI435415;TEX;-94,833;30,911;45;140;60;1;2;1;36;16;25,76;4,334;2,287;26,18
209;5;PI435415;TEX;-94,833;30,911;50;200;60;2;2;1;41;21;29,26;4,04;2,072;28,71
211;1;PI435540;ILL;-88,067;41,517;35;120;100;2;2;2;43;10;26,46;5,407;2,561;31,24
211;2;PI435540;ILL;-88,067;41,517;44;210;140;2;2;2;63;25;47,76;6,388;3,405;25,89
211;3;PI435540;ILL;-88,067;41,517;34;110;60;2;2;2;40;12;26,46;NA;NA;NA
211;4;PI435540;ILL;-88,067;41,517;42;200;110;2;2;2;52;16;28,46;7,373;3,138;31,9
211;5;PI435540;ILL;-88,067;41,517;41;190;110;2;2;2;60;23;42,46;6,35;3,188;29,68
351;1;PI413011;Misso;-90,198;38,627;52;260;190;3;2;1;50;24;32,46;4,363;2,44;27,55
351;3;PI413011;Misso;-90,198;38,627;58;210;65;3;2;1;52;24;36,46;5,953;3,051;23,16
351;4;PI413011;Misso;-90,198;38,627;53;305;145;3;1;1;52;24;37,96;4,734;2,443;25,45
351;5;PI413011;Misso;-90,198;38,627;59;270;130;3;2;1;54;26;45,76;NA;NA;24,77
358;1;PI413018;WYO;-104,2;43,85;40;140;80;2;2;2;30;9;26,26;5,777;2,615;28,15
358;2;PI413018;WYO;-104,2;43,85;35;180;130;2;2;2;28;11;31,46;NA;NA;NA
358;3;PI413018;WYO;-104,2;43,85;39;180;115;2;2;2;33;14;37,16;6,172;2,679;35,5
358;4;PI413018;WYO;-104,2;43,85;35;195;140;2;2;2;37;15;31,66;4,823;2,387;33,64
358;5;PI413018;WYO;-104,2;43,85;40;135;75;2;2;2;23;8;31,26;5,231;2,405;26,24
361;1;PI413021;WYO;-104,264;41,786;58;270;130;2;0;0;67;33;46,46;4,838;1,902;30,28
361;2;PI413021;WYO;-104,264;41,786;40;220;135;2;2;2;52;24;36,96;4,782;1,967;30,13
361;3;PI413021;WYO;-104,264;41,786;46;210;110;2;2;2;45;16;34,96;NA;NA;NA
361;4;PI413021;WYO;-104,264;41,786;67;240;120;1;1;1;49;24;39,46;4,983;2,191;31,75
361;5;PI413021;WYO;-104,264;41,786;49;210;135;2;2;2;52;26;35,46;5,392;2,641;31,42
363;1;PI413023;COL;-103,591;39,741;40;210;140;3;3;2;41;14;28,66;4,985;2,539;21,2
363;4;PI413023;COL;-103,591;39,741;45;220;140;2;2;2;50;19;32,46;4,828;2,517;27,71
363;5;PI413023;COL;-103,591;39,741;40;240;150;3;2;2;48;20;30,76;4,858;2,782;23,68
378;1;PI413038;SDK;-100,713;43,888;31;120;90;3;3;2;17;6;26,46;6,612;2,415;25,53
378;2;PI413038;SDK;-100,713;43,888;29;100;90;3;3;2;20;7;26,46;NA;NA;NA
378;3;PI413038;SDK;-100,713;43,888;30;160;90;0;3;2;30;11;32,76;7,494;3,529;29,68
378;4;PI413038;SDK;-100,713;43,888;26;160;110;3;3;2;20;8;27,96;NA;NA;NA
378;5;PI413038;SDK;-100,713;43,888;29;135;100;2;2;2;27;8;30,96;6,702;3,389;29,75
383;1;PI413043;ARZ;-113,611;34,703;41;260;150;3;3;3;45;22;29,46;4,481;2,324;25,64
383;2;PI413043;ARZ;-113,611;34,703;41;220;165;3;3;3;44;22;30,96;5,615;2,986;27,05
383;3;PI413043;ARZ;-113,611;34,703;41;240;145;3;3;3;47;21;30,66;4,891;2,571;24,41
383;4;PI413043;ARZ;-113,611;34,703;46;230;140;3;3;3;50;25;30,66;NA;NA;NA
383;5;PI413043;ARZ;-113,611;34,703;40;240;190;3;3;3;43;17;28,66;4,886;2,317;27,16
386;1;PI413046;ARZ;-112;34;45;250;150;3;2;2;64;33;30,66;4,918;2,74;25,41
386;4;PI413046;ARZ;-112;34;40;190;120;2;2;2;25;9;23,96;4,581;2,699;15,24
386;5;PI413046;ARZ;-112;34;48;200;130;3;2;2;53;18;26,06;3,901;1,981;26,77
388;1;PI413048;SDK;-100;44;43;240;130;3;3;3;51;22;25,46;4,828;2,448;24,31
388;2;PI413048;SDK;-100;44;47;200;130;3;3;2;46;19;26,76;4,418;1,796;26,06
388;4;PI413048;SDK;-100;44;51;210;145;3;2;2;52;23;25,66;4,479;2,35;25,65
410;1;PI413070;CLF;-121,739;38,545;48;235;140;3;2;1;54;23;30,66;6,176;3,131;23,38
410;2;PI413070;CLF;-121,739;38,545;45;200;135;3;2;2;50;19;34,46;6,525;3,253;23,93
410;3;PI413070;CLF;-121,739;38,545;51;230;135;2;2;2;51;22;31,76;5,413;2,972;24,15
410;4;PI413070;CLF;-121,739;38,545;55;270;120;1;1;1;54;20;30,96;NA;NA;NA
410;5;PI413070;CLF;-121,739;38,545;54;210;140;3;2;1;55;25;27,06;4,721;2,601;22,53
421;1;PI413081;CLF;-114,634;32,739;48;220;125;3;2;2;60;34;25,26;4,325;2,538;27,49
421;2;PI413081;CLF;-114,634;32,739;48;190;140;2;2;2;45;21;27,46;5,083;2,621;24,57
421;3;PI413081;CLF;-114,634;32,739;52;200;155;3;2;2;66;39;29,16;4,548;2,517;24,26
421;4;PI413081;CLF;-114,634;32,739;48;200;150;3;2;2;54;30;25,46;5,185;2,358;21,86
421;5;PI413081;CLF;-114,634;32,739;48;200;145;3;3;2;56;30;29,46;4,81;2,567;25,95
435;1;PI413095;CLF;-117,648;35,002;40;200;160;3;3;2;51;24;27,66;NA;NA;27,83
435;2;PI413095;CLF;-117,648;35,002;40;145;125;3;2;2;54;23;23,96;5,22;1,827;30,11
435;4;PI413095;CLF;-117,648;35,002;42;175;100;3;2;2;38;18;26,96;NA;NA;NA
435;5;PI413095;CLF;-117,648;35,002;40;200;145;3;3;3;48;21;29,46;5,835;2,828;27,76
437;1;PI413097;CLF;-118,173;35,053;41;225;155;3;3;2;42;21;37,46;5,359;2,433;30,18
437;2;PI413097;CLF;-118,173;35,053;40;220;145;3;3;2;36;10;27,76;6,651;3,431;26,29
437;3;PI413097;CLF;-118,173;35,053;46;200;155;3;3;2;60;29;30,16;6,517;3,174;26,03
437;4;PI413097;CLF;-118,173;35,053;37;200;145;3;3;2;40;15;33,46;NA;NA;30,61
437;5;PI413097;CLF;-118,173;35,053;37;200;170;3;3;3;31;11;40,8;6,458;3,261;25,54
446;1;PI413106;CLF;-121,678;38,287;45;280;145;3;2;2;55;26;34,46;NA;NA;NA
446;2;PI413106;CLF;-121,678;38,287;46;200;110;3;2;2;57;29;30,76;5,142;2,513;27,35
446;3;PI413106;CLF;-121,678;38,287;49;280;140;3;2;2;52;24;33,16;4,784;2,471;28,8
446;4;PI413106;CLF;-121,678;38,287;45;230;140;3;3;2;55;26;35,46;5,011;2,443;28,03
446;5;PI413106;CLF;-121,678;38,287;42;220;170;3;3;3;51;21;38,76;5,587;2,771;27,15
458;1;PI413118;CLF;-121,678;38,083;49;255;150;3;2;2;65;30;26,96;5,25;2,526;24,71
458;2;PI413118;CLF;-121,678;38,083;42;230;105;3;2;2;46;22;29,26;5,446;2,508;23,28
458;3;PI413118;CLF;-121,678;38,083;41;240;120;2;3;2;51;23;30,46;4,847;2,489;25,05
458;4;PI413118;CLF;-121,678;38,083;46;200;145;2;2;2;47;22;28,26;4,492;2,507;21,93
458;5;PI413118;CLF;-121,678;38,083;42;265;130;2;2;2;44;21;28,06;5,297;2,57;23,11
461;1;PI413121;NMX;-106;35;48;210;135;3;3;2;51;21;33,66;5,553;2,745;23,55
461;2;PI413121;NMX;-106;35;56;200;120;3;2;1;49;23;26,46;4,586;1,786;22,48
461;3;PI413121;NMX;-106;35;42;175;135;3;3;3;58;28;33,46;4,848;2,501;24,87
461;4;PI413121;NMX;-106;35;45;165;100;3;3;3;41;17;24,66;5,561;2,384;27,03
461;5;PI413121;NMX;-106;35;42;220;170;3;3;3;38;14;22,66;5,522;2,064;28,62
463;3;PI413123;NMX;-106;35;50;220;115;3;1;1;47;24;24,26;4,78;2,05;27,34
463;4;PI413123;NMX;-106;35;38;170;110;3;3;3;45;22;17,96;NA;NA;NA
463;5;PI413123;NMX;-106;35;37;160;125;3;3;3;45;15;22,86;5,157;2,037;26,16
468;1;PI413128;CLF;-121,772;34,679;45;180;75;1;1;1;47;20;70,6;8,069;3,764;29,21
468;2;PI413128;CLF;-121,772;34,679;51;180;95;0;0;1;51;26;93,2;8,131;4,219;21,2
468;3;PI413128;CLF;-121,772;34,679;45;190;85;0;1;1;41;16;70;7,435;4,827;26,83
468;4;PI413128;CLF;-121,772;34,679;44;170;75;0;1;2;47;20;55,6;8,157;3,748;26,09
468;5;PI413128;CLF;-121,772;34,679;45;190;90;0;0;2;41;17;53,8;6,264;3,633;23,07
